date;total_kwh;p_active;q_reactive;f_generatrice;f_reseau;u_rms_v;pwm;t_lgbt;type;cc
27/01/2023 00:01;16466;18.57;2.644;50;50;585;0;12;lion;23
27/01/2023 00:01;16466;18.35;2.679;49.98;49.98;585;0;12;lion;23
27/01/2023 00:02;16466;18.98;2.641;49.98;49.98;585;0;12;lion;23
27/01/2023 00:02;16466;18.92;2.721;49.96;49.98;590;0;12;lion;23
27/01/2023 00:03;16467;19.04;2.884;49.96;49.96;584;0;12;lion;23
27/01/2023 00:03;16467;18.55;2.711;49.96;49.96;584;0;12;lion;23
27/01/2023 00:03;16467;18.52;2.589;49.94;49.96;585;0;12;lion;23
27/01/2023 00:04;16467;18.64;2.795;49.96;49.96;584;0;12;lion;23
27/01/2023 00:04;16467;18.74;3.182;49.96;49.96;584;0;12;lion;23
27/01/2023 00:05;16467;18.77;2.807;49.98;49.98;584;0;12;lion;23
27/01/2023 00:05;16467;18.61;2.863;49.98;49.98;584;0;12;lion;23
27/01/2023 00:06;16468;18.61;2.956;49.98;49.98;584;0;12;lion;23
27/01/2023 00:06;16468;18.7;3.107;49.98;49.98;583;0;12;lion;23
27/01/2023 00:07;16468;18.79;3.105;49.98;49.98;582;0;12;lion;23
27/01/2023 00:07;16468;18.36;2.895;49.98;49.98;583;0;12;lion;23
27/01/2023 00:08;16468;18.35;3.138;49.98;49.98;583;0;12;lion;23
27/01/2023 00:08;16468;18.51;3.159;49.98;49.98;583;0;12;lion;23
27/01/2023 00:08;16468;18.98;2.839;49.98;49.98;583;0;12;lion;23
27/01/2023 00:09;16469;18.34;3.086;49.98;49.98;583;0;12;lion;23
27/01/2023 00:09;16469;18.47;3.03;49.98;49.98;583;0;12;lion;23
27/01/2023 00:10;16469;18.64;2.807;50;50;583;0;12;lion;23
27/01/2023 00:10;16469;18.33;3.25;49.98;49.98;584;0;12;lion;23
27/01/2023 00:11;16469;18.54;3.05;50;50;583;0;12;lion;23
27/01/2023 00:11;16469;18.81;2.94;49.98;49.98;584;0;12;lion;23
27/01/2023 00:12;16469;18.53;2.916;49.98;49.98;584;0;12;lion;23
27/01/2023 00:12;16470;18.34;3.241;50;50;583;0;12;lion;23
27/01/2023 00:12;16470;18.52;3.044;50;50;584;0;12;lion;23
27/01/2023 00:13;16470;18.57;2.957;50;50;584;0;12;lion;23
27/01/2023 00:13;16470;18.37;3.024;50;50;584;0;12;lion;23
27/01/2023 00:14;16470;18.88;3.069;50;50;584;0;12;lion;23
27/01/2023 00:14;16470;18.57;3.012;50.02;50;585;0;12;lion;23
27/01/2023 00:15;16470;18.5;2.942;50.02;50.02;584;0;12;lion;23
27/01/2023 00:15;16471;18.77;2.885;49.98;49.98;584;0;12;lion;23
27/01/2023 00:16;16471;18.29;2.941;49.98;49.98;584;0;12;lion;23
27/01/2023 00:16;16471;18.62;3.009;50;50;584;0;12;lion;23
27/01/2023 00:17;16471;18.33;2.938;50;50;584;0;12;lion;23
27/01/2023 00:17;16471;18.86;2.84;50;50;584;0;12;lion;23
27/01/2023 00:17;16471;18.55;2.912;50;50;585;0;12;lion;23
27/01/2023 00:18;16471;18.96;2.79;50;50;585;0;12;lion;23
27/01/2023 00:18;16472;18.7;2.797;50;50;584;0;12;lion;23
27/01/2023 00:19;16472;18.68;3.015;50;50;584;0;12;lion;23
27/01/2023 00:19;16472;18.68;3;50;50;584;0;12;lion;23
27/01/2023 00:20;16472;18.58;2.791;50;50.02;584;0;12;lion;23
27/01/2023 00:20;16472;18.62;2.939;50.02;50.02;584;0;12;lion;23
27/01/2023 00:21;16472;18.51;2.805;50;50;584;0;12;lion;23
27/01/2023 00:21;16472;18.99;2.763;50;50;585;0;12;lion;23
27/01/2023 00:22;16472;18.79;2.693;50;50;585;0;12;lion;23
27/01/2023 00:22;16473;18.77;2.648;50;50;585;0;12;lion;23
27/01/2023 00:22;16473;18.49;2.579;49.98;49.98;586;0;12;lion;23
27/01/2023 00:23;16473;18.47;2.768;50;50;585;0;12;lion;23
27/01/2023 00:23;16473;18.75;2.706;50;50;586;0;12;lion;23
27/01/2023 00:24;16473;18.82;2.812;50.02;50.02;586;0;12;lion;23
27/01/2023 00:24;16473;18.83;2.767;50.02;50.02;586;0;12;lion;23
27/01/2023 00:25;16473;18.51;2.776;50.02;50.02;586;0;12;lion;23
27/01/2023 00:25;16474;18.7;2.901;50.02;50;585;0;12;lion;23
27/01/2023 00:26;16474;18.63;2.829;50;50;585;0;12;lion;23
27/01/2023 00:26;16474;18.76;2.878;50;50;585;0;12;lion;23
27/01/2023 00:26;16474;18.8;2.945;50.02;50.02;585;0;12;lion;23
27/01/2023 00:27;16474;18.3;2.868;50.04;50.04;585;0;12;lion;23
27/01/2023 00:27;16474;18.36;2.631;50.02;50.02;585;0;12;lion;23
27/01/2023 00:28;16474;18.39;3.038;50.02;50.02;585;0;12;lion;23
27/01/2023 00:28;16475;18.57;2.799;50;50;585;0;12;lion;23
27/01/2023 00:29;16475;18.84;2.894;50.02;50.02;585;0;12;lion;23
27/01/2023 00:29;16475;18.13;2.884;50.02;50.02;585;0;12;lion;23
