Date,ph
2016-06-13,7.3
2016-07-20,7.4
2016-09-13,7.5
2016-11-02,7.9
2016-12-12,7.5
2017-02-06,7.4
2017-04-18,7.4
2017-06-12,7.2
2017-08-24,7.7
2017-10-16,7.8
2017-12-04,7.7
2018-02-13,7
2018-04-09,7.8
2018-07-09,7.8
2018-08-20,8.3
2018-10-15,8.4
2018-12-18,8.1
2019-02-11,7.8
2019-04-08,8.2
2019-06-17,8
2019-08-19,7.9
2019-10-14,7.7
2019-12-16,7.6
2020-02-17,7.9
2020-04-27,7.8
2020-06-23,7.9
2020-08-28,8
2020-11-20,8
2020-12-23,7.7
2021-02-24,7.8
2021-05-10,7
2021-06-21,8
